user_id,prediction_timestamp,search_count,view_count,wishlist_count,cart_count,purchase_count_before_prediction,total_event_count,activity_days,recency_hours,distinct_products_viewed,distinct_categories_interacted,average_interacted_product_price,average_carted_product_price,purchased_within_7_days
15,2026-03-24,1,2,0,1,1.0,5,1,33.273646201666665,2,2,6599.0,4999.0,0
19,2026-03-24,1,1,1,0,,3,1,10.805334285555556,1,1,8999.0,0.0,0
20,2026-03-24,1,2,1,0,,4,1,117.4714609961111,2,2,11499.0,0.0,0
22,2026-03-24,1,1,1,1,1.0,5,1,7.678141579722222,1,1,8999.0,8999.0,0
23,2026-03-24,1,1,1,0,,3,1,73.26004965638889,1,1,4999.0,0.0,0
24,2026-03-24,1,3,0,0,,4,1,10.062953125,2,1,10999.0,0.0,0
30,2026-03-24,1,2,1,0,,4,1,112.14789978833333,1,1,6999.0,0.0,0
31,2026-03-24,1,1,1,1,,4,1,74.8342957175,1,1,12999.0,12999.0,0
36,2026-03-24,1,3,1,1,,6,1,25.21922206361111,2,2,6665.666666666667,6999.0,0
45,2026-03-24,1,1,0,0,,2,1,122.89000163777779,1,1,8999.0,0.0,0
46,2026-03-24,1,3,0,0,,4,1,40.47443381638889,2,2,10999.0,0.0,0
47,2026-03-24,1,2,0,0,,3,1,125.14777678638889,1,1,6999.0,0.0,0
53,2026-03-24,1,2,0,0,,3,1,6.669812806388888,1,1,4999.0,0.0,0
56,2026-03-24,2,3,0,0,,5,2,10.302337359722221,1,1,4999.0,0.0,0
72,2026-03-24,1,2,0,0,,3,1,37.39508661,2,2,10332.333333333334,0.0,0
75,2026-03-24,1,2,1,0,,4,1,124.74155450027777,1,1,8999.0,0.0,0
77,2026-03-24,2,5,1,0,,8,2,39.86959482611111,2,2,7749.0,0.0,0
78,2026-03-24,1,2,0,0,,3,1,118.43396683722221,1,1,4999.0,0.0,0
79,2026-03-24,1,2,1,0,,4,1,91.32937438166667,1,1,6999.0,0.0,0
82,2026-03-24,2,3,1,0,,6,2,25.69325808138889,2,1,12332.333333333334,0.0,0
86,2026-03-24,2,4,1,0,,7,2,58.27242768694445,2,2,6141.857142857143,0.0,0
89,2026-03-24,1,1,0,0,,2,1,9.263051444444445,1,1,4999.0,0.0,0
95,2026-03-24,1,1,0,0,,2,1,116.53613906555555,1,1,4999.0,0.0,0
97,2026-03-24,1,1,0,0,,2,1,104.5619432161111,1,1,8999.0,0.0,0
101,2026-03-24,1,2,1,1,,5,1,100.57746747194444,2,1,9799.0,8999.0,0
102,2026-03-24,1,2,1,1,,5,1,77.34611079055556,2,2,5799.0,4999.0,0
103,2026-03-24,1,2,0,0,,3,1,61.716885660277775,1,1,8999.0,0.0,0
104,2026-03-24,1,2,0,0,,3,1,91.68652769166667,1,1,6999.0,0.0,0
112,2026-03-24,1,2,0,0,,3,1,88.1962905638889,1,1,4999.0,0.0,0
113,2026-03-24,1,2,0,1,1.0,5,1,52.18554291666666,1,1,8999.0,8999.0,0
126,2026-03-24,1,2,0,0,,3,1,23.82919476,1,1,4999.0,0.0,0
139,2026-03-24,1,2,0,0,,3,1,56.006290873055555,1,1,6999.0,0.0,0
140,2026-03-24,1,1,0,0,,2,1,60.15152703888889,1,1,4999.0,0.0,0
142,2026-03-24,1,2,0,1,1.0,5,1,122.75550143361112,2,2,7399.0,6999.0,0
146,2026-03-24,1,1,1,1,1.0,5,1,45.845157980555555,1,1,4999.0,4999.0,0
154,2026-03-24,1,2,1,0,,4,1,109.97801889388889,1,1,6999.0,0.0,0
155,2026-03-24,1,1,0,0,,2,1,115.88362715888888,1,1,4999.0,0.0,0
170,2026-03-24,1,3,0,0,,4,1,45.52584310333334,2,1,10999.0,0.0,0
175,2026-03-24,2,6,1,0,,9,2,42.66748510027778,2,1,11665.666666666666,0.0,0
177,2026-03-24,1,2,0,0,,3,1,104.41741702694445,1,1,4999.0,0.0,0
184,2026-03-24,1,1,0,0,,2,1,110.4355358975,1,1,4999.0,0.0,0
185,2026-03-24,1,2,0,0,,3,1,0.969007273611111,1,1,8999.0,0.0,0
186,2026-03-24,1,1,1,0,,3,1,135.11703644777776,1,1,6999.0,0.0,0
193,2026-03-24,2,4,1,0,,7,1,96.62873126166667,3,2,8999.0,0.0,0
195,2026-03-24,1,3,0,0,,4,1,17.528101555555555,1,1,4999.0,0.0,0
206,2026-03-24,2,3,2,1,1.0,9,1,116.49026460694445,1,1,6999.0,6999.0,0
208,2026-03-24,1,1,0,0,,2,1,135.76299878222224,1,1,12999.0,0.0,0
212,2026-03-24,1,2,0,0,,3,1,90.49672123055556,2,1,11665.666666666666,0.0,0
216,2026-03-24,1,2,0,1,,4,1,51.724980691388886,2,2,8499.0,8999.0,1
220,2026-03-24,1,3,0,0,,4,1,96.02130154055556,2,1,10999.0,0.0,0
222,2026-03-24,1,3,0,0,,4,1,80.65549543666667,1,1,6999.0,0.0,0
223,2026-03-24,1,1,0,1,,3,1,146.97790932027777,1,1,6999.0,6999.0,0
231,2026-03-24,1,1,0,0,,2,1,21.31729919888889,1,1,4999.0,0.0,0
237,2026-03-24,2,4,1,0,,7,2,45.71727509055556,1,1,4999.0,0.0,0
239,2026-03-24,1,2,1,0,,4,1,103.235281315,2,1,11999.0,0.0,0
243,2026-03-24,3,3,1,0,,7,3,54.4770194575,2,2,8427.57142857143,0.0,0
248,2026-03-24,1,3,1,0,,5,2,119.75719485222223,2,1,9799.0,0.0,0
252,2026-03-24,1,2,0,0,,3,1,16.24072386611111,1,1,6999.0,0.0,0
258,2026-03-24,2,4,0,0,,6,2,25.58153160277778,1,1,6999.0,0.0,0
261,2026-03-24,1,1,0,0,,2,1,132.69964577638888,1,1,8999.0,0.0,0
263,2026-03-24,2,5,1,0,,8,2,1.490399126388889,1,1,6999.0,0.0,0
268,2026-03-24,2,6,0,2,2.0,12,1,102.73363581583334,3,3,6499.0,5999.0,0
272,2026-03-24,1,3,0,0,,4,1,123.87060008777777,1,1,4999.0,0.0,0
276,2026-03-24,1,1,0,0,,2,1,146.35845755333332,1,1,6999.0,0.0,0
280,2026-03-24,2,5,2,0,,9,1,50.51826876166666,3,3,6554.555555555556,0.0,0
281,2026-03-24,1,3,1,0,,5,1,82.5991679786111,1,1,8999.0,0.0,0
282,2026-03-24,1,3,1,0,,5,1,63.73125987,2,1,12199.0,0.0,0
286,2026-03-24,1,1,0,0,,2,1,56.434302376944444,1,1,6999.0,0.0,0
288,2026-03-24,1,3,0,1,1.0,6,1,45.97281141888889,2,1,10332.333333333334,8999.0,1
291,2026-03-24,1,1,0,0,,2,1,131.1123604475,1,1,6999.0,0.0,0
295,2026-03-24,2,4,0,0,,6,2,15.675203592499999,2,1,10999.0,0.0,0
304,2026-03-24,1,1,0,0,,2,1,11.329003198055556,1,1,4999.0,0.0,0
308,2026-03-24,2,4,0,0,,6,2,5.212339696666667,2,2,7665.666666666667,0.0,0
311,2026-03-24,1,3,1,0,,5,1,113.8975361575,1,1,4999.0,0.0,0
313,2026-03-24,2,5,1,1,,9,2,49.55421139361111,2,2,5443.444444444444,4999.0,0
318,2026-03-24,1,2,0,0,,3,1,53.50977568194445,1,1,6999.0,0.0,0
319,2026-03-24,2,6,2,0,,10,3,29.709850706388888,2,2,7599.0,0.0,0
323,2026-03-24,1,1,0,1,1.0,4,1,135.75085436583333,1,1,12999.0,12999.0,0
327,2026-03-24,1,2,0,1,,4,1,44.44325958333333,1,1,4999.0,4999.0,0
329,2026-03-24,1,1,0,0,,2,1,6.967086449722222,1,1,6999.0,0.0,0
338,2026-03-24,1,3,0,0,,4,1,137.38531439666667,1,1,6999.0,0.0,0
340,2026-03-24,1,2,0,1,,4,1,53.170288695277776,1,1,4999.0,4999.0,0
347,2026-03-24,1,3,0,0,,4,1,111.8907722575,1,1,4999.0,0.0,0
358,2026-03-24,2,3,2,0,,7,2,63.535745920833335,2,2,5570.428571428572,0.0,0
359,2026-03-24,1,3,0,1,,5,1,27.419388739722223,2,2,6599.0,4999.0,0
360,2026-03-24,2,4,1,2,1.0,10,2,61.17312032611111,2,1,10599.0,10999.0,0
361,2026-03-24,1,2,1,1,,5,1,61.956706085,2,1,12199.0,12999.0,0
362,2026-03-24,1,3,0,0,,4,1,43.38156075222222,2,2,7999.0,0.0,0
363,2026-03-24,1,1,0,1,,3,1,90.51838648277779,1,1,4999.0,4999.0,0
365,2026-03-24,1,2,0,0,,3,1,119.29120836055556,2,1,11665.666666666666,0.0,0
370,2026-03-24,1,3,1,0,,5,1,82.01199751305556,1,1,4999.0,0.0,0
372,2026-03-24,1,1,1,1,1.0,5,1,131.32115015694444,1,1,4999.0,4999.0,0
376,2026-03-24,1,3,1,0,,5,1,36.80150190083334,1,1,4999.0,0.0,0
386,2026-03-24,1,1,0,0,,2,1,21.993282545833335,1,1,12999.0,0.0,0
388,2026-03-24,1,3,1,0,,5,1,35.113104379444444,2,2,7399.0,0.0,0
389,2026-03-24,2,6,1,1,,10,1,14.807601965,2,2,7199.0,6999.0,0
391,2026-03-24,1,1,0,0,,2,1,108.94109365416666,1,1,8999.0,0.0,0
392,2026-03-24,1,2,0,0,,3,1,3.915311120833333,2,2,8332.333333333334,0.0,0
399,2026-03-24,1,2,0,0,,3,1,47.09002930083333,1,1,6999.0,0.0,0
402,2026-03-24,1,3,1,1,,6,1,72.46522369027778,2,1,9665.666666666666,8999.0,0
404,2026-03-24,1,2,1,1,1.0,6,1,111.21800460777777,1,1,6999.0,6999.0,0
406,2026-03-24,2,4,0,0,,6,2,81.34198943444446,1,1,6999.0,0.0,0
415,2026-03-24,1,3,0,0,,4,1,52.01456801055556,2,2,6999.0,0.0,0
419,2026-03-24,1,2,1,0,,4,1,17.421802768888888,2,1,9999.0,0.0,0
420,2026-03-24,1,1,0,0,,2,1,112.9908643586111,1,1,8999.0,0.0,0
429,2026-03-24,1,3,1,0,,5,1,144.8585094652778,1,1,12999.0,0.0,0
432,2026-03-24,1,2,1,0,,4,1,54.8551995125,1,1,8999.0,0.0,0
437,2026-03-24,1,1,0,0,,2,1,27.5137685625,1,1,4999.0,0.0,0
441,2026-03-24,1,1,1,0,,3,1,145.923363195,1,1,4999.0,0.0,0
444,2026-03-24,1,3,0,0,,4,1,31.118757492777775,1,1,4999.0,0.0,0
446,2026-03-24,1,3,0,1,,5,1,125.65607226527777,2,1,12199.0,12999.0,0
451,2026-03-24,1,1,0,0,,2,1,36.66015693027778,1,1,6999.0,0.0,0
456,2026-03-24,1,1,0,1,,3,1,100.11862601722223,1,1,4999.0,4999.0,0
460,2026-03-24,1,2,0,0,,3,1,36.081856029166666,2,1,10332.333333333334,0.0,0
462,2026-03-24,1,1,0,0,,2,1,87.37355109388888,1,1,6999.0,0.0,0
466,2026-03-24,1,3,0,0,,4,1,26.57111678777778,2,2,5999.0,0.0,0
480,2026-03-24,1,2,1,0,,4,1,126.35223003027778,1,1,4999.0,0.0,0
487,2026-03-24,1,1,0,0,,2,1,52.004073381111105,1,1,8999.0,0.0,0
490,2026-03-24,1,1,0,0,,2,1,140.51926836222222,1,1,12999.0,0.0,0
5,2026-03-31,1,2,0,0,,3,1,13.512861140833333,2,2,5665.666666666667,0.0,0
8,2026-03-31,1,2,1,0,,4,1,92.71949089277778,2,1,11999.0,0.0,0
14,2026-03-31,1,3,0,0,,4,1,133.828117165,1,1,4999.0,0.0,0
15,2026-03-31,1,2,0,1,1.0,5,1,201.27364620166665,2,2,6599.0,4999.0,0
19,2026-03-31,1,1,1,0,,3,1,178.80533428555555,1,1,8999.0,0.0,0
20,2026-03-31,1,2,1,0,,4,1,285.4714609961111,2,2,11499.0,0.0,0
21,2026-03-31,1,2,0,0,,3,1,39.67989296527777,2,1,10332.333333333334,0.0,0
22,2026-03-31,1,1,1,1,1.0,5,1,175.67814157972222,1,1,8999.0,8999.0,0
23,2026-03-31,1,1,1,0,,3,1,241.26004965638887,1,1,4999.0,0.0,0
24,2026-03-31,1,3,0,0,,4,1,178.062953125,2,1,10999.0,0.0,0
30,2026-03-31,1,2,1,0,,4,1,280.14789978833335,1,1,6999.0,0.0,0
31,2026-03-31,2,3,1,2,,8,2,19.420227972777777,2,1,10999.0,10999.0,0
33,2026-03-31,1,1,1,1,,4,1,140.90289387472222,1,1,6999.0,6999.0,0
35,2026-03-31,1,3,1,0,,5,1,165.43922780166668,2,2,6599.0,0.0,0
36,2026-03-31,1,3,1,1,,6,1,193.2192220636111,2,2,6665.666666666667,6999.0,0
37,2026-03-31,1,1,1,0,,3,1,100.97387046194444,1,1,4999.0,0.0,0
43,2026-03-31,1,3,0,0,,4,1,160.3148013136111,3,2,9499.0,0.0,0
44,2026-03-31,1,3,0,0,,4,1,105.35244947305556,1,1,4999.0,0.0,0
45,2026-03-31,1,1,0,0,,2,1,290.89000163777774,1,1,8999.0,0.0,0
46,2026-03-31,1,3,0,0,,4,1,208.4744338163889,2,2,10999.0,0.0,0
47,2026-03-31,1,2,0,0,,3,1,293.14777678638893,1,1,6999.0,0.0,0
49,2026-03-31,1,3,1,0,,5,1,156.78723862972222,1,1,4999.0,0.0,0
50,2026-03-31,1,1,0,0,,2,1,146.6223967847222,1,1,6999.0,0.0,0
53,2026-03-31,1,2,0,0,,3,1,174.66981280638888,1,1,4999.0,0.0,0
56,2026-03-31,3,5,0,0,,8,3,132.81877092194443,2,2,5999.0,0.0,0
64,2026-03-31,1,2,0,1,,4,1,22.771285152222223,1,1,4999.0,4999.0,0
71,2026-03-31,2,4,1,2,2.0,11,1,144.84979011222222,1,1,6999.0,6999.0,0
72,2026-03-31,1,2,0,0,,3,1,205.39508661,2,2,10332.333333333334,0.0,0
73,2026-03-31,1,1,0,0,,2,1,118.2964157888889,1,1,4999.0,0.0,0
75,2026-03-31,2,3,2,0,,7,2,31.91245303638889,2,2,7284.714285714285,0.0,0
77,2026-03-31,2,5,1,0,,8,2,207.86959482611113,2,2,7749.0,0.0,0
78,2026-03-31,1,2,0,0,,3,1,286.4339668372222,1,1,4999.0,0.0,0
79,2026-03-31,1,2,1,0,,4,1,259.3293743816667,1,1,6999.0,0.0,0
80,2026-03-31,1,2,1,0,,4,1,131.3889075263889,1,1,6999.0,0.0,0
82,2026-03-31,3,6,2,1,,12,3,159.153723475,2,1,12665.666666666666,12999.0,0
86,2026-03-31,3,6,2,0,,11,3,138.92438162666667,2,2,5726.272727272727,0.0,0
87,2026-03-31,1,3,0,0,,4,1,108.79521874,1,1,6999.0,0.0,0
89,2026-03-31,1,1,0,0,,2,1,177.26305144444444,1,1,4999.0,0.0,0
93,2026-03-31,2,5,0,2,1.0,10,2,90.91996699194445,1,1,6999.0,6999.0,1
95,2026-03-31,2,3,1,0,,6,2,112.177038645,2,2,5665.666666666667,0.0,0
97,2026-03-31,1,1,0,0,,2,1,272.5619432161111,1,1,8999.0,0.0,0
101,2026-03-31,1,2,1,1,,5,1,268.57746747194443,2,1,9799.0,8999.0,0
102,2026-03-31,1,2,1,1,,5,1,245.34611079055554,2,2,5799.0,4999.0,0
103,2026-03-31,2,3,0,0,,5,2,36.311552032222224,1,1,8999.0,0.0,0
104,2026-03-31,2,5,0,0,,7,2,166.11870912833334,2,2,7570.428571428572,0.0,0
107,2026-03-31,1,3,0,0,,4,1,4.667097289999999,2,2,6499.0,0.0,0
112,2026-03-31,2,4,1,0,,7,2,92.31495078694444,1,1,4999.0,0.0,0
113,2026-03-31,1,2,0,1,1.0,5,1,220.18554291666666,1,1,8999.0,8999.0,0
124,2026-03-31,1,2,0,0,,3,1,155.11726689833333,1,1,6999.0,0.0,0
126,2026-03-31,1,2,0,0,,3,1,191.82919476,1,1,4999.0,0.0,0
129,2026-03-31,1,2,0,0,,3,1,83.90863635388888,2,2,10999.0,0.0,0
130,2026-03-31,1,2,0,0,,3,1,131.09278702166668,2,2,10332.333333333334,0.0,0
133,2026-03-31,1,2,1,1,,5,1,57.063447636111114,2,2,5399.0,4999.0,0
135,2026-03-31,1,1,1,0,,3,1,6.674683848333333,1,1,12999.0,0.0,0
137,2026-03-31,1,2,0,1,,4,1,106.26104536555556,1,1,4999.0,4999.0,0
139,2026-03-31,2,5,0,0,,7,2,159.04832298916668,1,1,6999.0,0.0,0
140,2026-03-31,1,1,0,0,,2,1,228.1515270388889,1,1,4999.0,0.0,0
141,2026-03-31,2,4,0,0,,6,1,146.4960831275,2,2,6665.666666666667,0.0,0
